title,box_off_num
용서는 없다,1261334.4363454364
아빠가 여자를 좋아해,1737291.5179619496
하모니,1257060.4935688071
의형제,2159402.62251728
평행 이론,1899200.7550193444
회오리 바람,75.70744742733991
경계도시 2,2391.428141037397
이웃집 남자,45.212599755346304
아마존의 눈물 극장판,1512.50184252759
반가운 살인자,3565.0525219296637
집 나온 남자들,150878.30264776014
베스트셀러,717527.4097641504
작은 연못,2235.9730818388043
경,1211.568813103992
대한민국 1%,429019.2022207737
포화 속으로,1057579.2784299834
나쁜 놈이 더 잘 잔다,1142.500932157754
맨발의 꿈,1497560.048824516
요술,146917.8292692492
마법천자문: 대마왕의 부활을 막아라,661341.5392761127
인플루언스,10.71599044907877
미스터 좀비,7961.981534920912
김복남 살인사건의 전말,29699.6478213173
엄지아빠,127.64179989223113
탈주,46.812682844102106
해결사,918192.6991402917
할,839.351583484286
된장,1387065.2288133325
조금만 더 가까이,5703.188353613126
우리 만난 적 있나요,198.59577155293937
쩨쩨한 로맨스,610394.6664436213
용서,80093.06702444193
브라보! 재즈 라이프,7150.2959454814545
카페 느와르,1755.781989462512
오래된 인력거,5440.39465606254
창피해,3811.373727639135
"양 한 마리, 양 두 마리",1158.7137405088897
하얀 정글,4505.789475359842
다슬이,1229.0003533384754
REC 알이씨,9.008296955087186
량강도 아이들,86.21948975941092
티끌모아 로맨스,31648.32550640197
더 킥,179606.08439992002
커플즈,39424.83232995332
오늘,162318.60234577995
완득이,645470.5500195773
은어,56.60445021724927
고래를 찾는 자전거,53.81258028250461
도가니,40183.32469776457
겨울냄새,118.45951609400375
환타스틱 모던가야그머,627.0477370606351
블라인드,891491.649337138
링크,3179.305810653146
퀵,753157.6175667748
모비딕,1108225.9699525584
굿바이 보이,916.7662639453997
종로의 기적,3020.316813383355
회초리,643980.4002986898
체포왕,848704.8186491723
세상에서 가장 아름다운 이별,1517898.8846991016
나는 아빠다,399294.2569361786
수상한 고객들,3708812.2494286466
수상한 이웃들,14100.145994594232
돌아오는 길,372.47225029621495
우리 이웃의 범죄,14101.711927218304
엄마는 창녀다,17.6308707112874
위험한 상견례,558030.9860357702
간증,5827.464135724364
"사랑한다, 사랑하지 않는다",274832.59154303913
"혜화, 동",13872.68008644052
글러브,1208958.7871898895
가문의 귀환,458913.51086998516
잔혹한 앵글의 로망스,152.73094966505408
나의 PS 파트너,421788.7390913571
롤플레이,119.01233138778687
마티나,473.6071263532545
음치 클리닉,690369.6496189762
남영동1985,141136.67747337557
돈 크라이 마미,60715.2964422784
반드시 크게 들을 것 2 : Wild Days,3109.808566088663
범죄소년,6721.571757807516
내가 살인범이다,2279746.660062
터치,4543.492777230818
늑대소년,1806622.9618895473
맥코리아,911.6319094776478
용의자X,1025251.1253839597
하나안,1292.97776830867
투 올드 힙합 키드,7374.135758704441
한경직,1156.1283735019192
미운오리새끼,116499.6663026574
황제펭귄 펭이와 솜이,989.0746022428676
두 개의 문,1911.4442913148778
I AM,83604.69845541734
후궁 : 제왕의 첩,351797.81695085287
"안녕, 하세요!",82222.67469876492
천국의 아이들,54.231326566522974
할머니는 일학년,12948.95767381593
두레소리,24.766653309467866
"봄, 눈",247484.96119098453
은교,123604.60310698832
간기남,612358.1911362801
시체가 돌아왔다,1415608.866609763
말하는 건축가,5565.66789011812
밀월도 가는 길,2208.3987833982787
파파,802640.4499720688
점박이:한반도의 공룡3D,68188.71771239262
댄싱퀸,2563381.6682922845
누구의 딸도 아닌 해원,24310.647835856387
신세계,3730411.3711583307
굿바이 홈런,4474.443119111133
불륜의 시대,1556.4133574392583
남쪽으로 튀어,629781.8096460869
좋은 친구들,981517.5372429747
지슬 - 끝나지 않은 세월 2,1400.0427225172139
누구나 제 명에 죽고 싶다,7512.797124667682
사이코메트리,308627.80628815596
환상속의 그대,5718.206088926728
몽타주,1728840.0552719608
"힘내세요, 병헌씨",1079.755807857304
꼭두각시,58239.2236774908
홀리,2330.9463282453303
마이 라띠마,413621.8136067219
더 테러 라이브,594759.755790637
슈퍼피쉬 - 끝없는 여정,715.7915928544669
콩가네,18.09098908857893
허풍,247.19195536332992
젊은 엄마,669.7739836939091
노라노,19735.692534223446
노브레싱,61872.15764203892
말하는 건축 시티:홀,4418.037647598908
댄서김의 은밀한 교수법,12.02435313143527
소원,523072.32289051585
고양이 소녀,302.07511084539567
롤플레이 2 : 동침,184.6254069192326
동창생,1014046.5076868448
용의자,6254031.141061734
미녀전쟁,240.4548822760117
캐치미,768435.4404404769
그 강아지 그 고양이,47532.93045105836
화려한 외출,10.054263143025187
오하이오 삿포로,755.7339989234117
마이 리틀 히어로,392601.41789950733
박수건달,2755719.2012836
배꼽,167.77269967056316
나가요 미스콜,1760.136766580401
우아한 거짓말,52471.23644625922
미스터 컴퍼니,6754.685807714298
우리별 일호와 얼룩소,1186.7246617536882
찌라시: 위험한 소문,1732659.527697349
조선미녀삼총사,1552421.2144156445
만찬,2849.506044293612
한 번도 안 해본 여자,2646.664100255267
살인자,16.579148039736477
  이것이 우리의 끝이다,3323.7288775984944
그댄 나의 뱀파이어,863.4575548369519
황제를 위하여,1986.2831529579778
레디액션! 폭력영화,1923.7231242360087
스퀴시랜드,81744.70118730246
우는 남자,2158045.5672117327
하이힐,1521258.1129711578
도희야,28707.236728657772
