ID,actual_productivity
TEST_0000,0.5664773653593129
TEST_0001,0.6387763830865685
TEST_0002,0.588541448437332
TEST_0003,0.5789887638756968
TEST_0004,0.6717847293701082
TEST_0005,0.6690526711481581
TEST_0006,0.7638004195999666
TEST_0007,0.7272655908465206
TEST_0008,0.6812619372181049
TEST_0009,0.7089195474876336
TEST_0010,0.7735640882461979
TEST_0011,0.6971879879532311
TEST_0012,0.774729235150314
TEST_0013,0.7744014141569525
TEST_0014,0.7050822730698583
TEST_0015,0.7734538909326122
TEST_0016,0.7874616607649038
TEST_0017,0.7874600809046948
TEST_0018,0.7871749161369755
TEST_0019,0.7799928676502678
TEST_0020,0.4451530963660218
TEST_0021,0.4241171425561665
TEST_0022,0.726014836879059
TEST_0023,0.725821787830201
TEST_0024,0.6549072882215441
TEST_0025,0.6240677023633283
TEST_0026,0.6576397346962574
TEST_0027,0.5154422816614082
TEST_0028,0.6757892516999008
TEST_0029,0.6574655245306313
TEST_0030,0.6691729158326747
TEST_0031,0.6004118700169518
TEST_0032,0.7599095877273347
TEST_0033,0.7835062567792187
TEST_0034,0.7497505875716611
TEST_0035,0.772488600879465
TEST_0036,0.648844401245342
TEST_0037,0.7020681330453643
TEST_0038,0.6749161928062549
TEST_0039,0.7108120318410822
TEST_0040,0.5460838024270367
TEST_0041,0.6765038797721916
TEST_0042,0.6517447354701466
TEST_0043,0.5834322674811057
TEST_0044,0.6830088200496229
TEST_0045,0.7214536584160104
TEST_0046,0.6833764141126689
TEST_0047,0.7333087712807763
TEST_0048,0.40087346760351783
TEST_0049,0.4619967948736043
TEST_0050,0.4774332989973641
TEST_0051,0.48894193484071563
TEST_0052,0.7063165115290995
TEST_0053,0.7136848325495482
TEST_0054,0.7497034498025644
TEST_0055,0.7081026557672673
TEST_0056,0.5439670657230953
TEST_0057,0.5207075001491605
TEST_0058,0.6101180899930501
TEST_0059,0.5394931295370564
TEST_0060,0.736393069178825
TEST_0061,0.7928709409018023
TEST_0062,0.7800661748647425
TEST_0063,0.7612639727412195
TEST_0064,0.7391248394172452
TEST_0065,0.7598180181562082
TEST_0066,0.7588840545255336
TEST_0067,0.7364836862024888
TEST_0068,0.6503276862106411
TEST_0069,0.7040641763982808
TEST_0070,0.7072986892428492
TEST_0071,0.6740073859378222
TEST_0072,0.7743568824177278
TEST_0073,0.7233058805766399
TEST_0074,0.7091304838170958
TEST_0075,0.7408100492656201
TEST_0076,0.6499833730873087
TEST_0077,0.6534778867690682
TEST_0078,0.6643936715806216
TEST_0079,0.7192273354648304
TEST_0080,0.6510536679947727
TEST_0081,0.5745179414729653
TEST_0082,0.5194073531548009
TEST_0083,0.7247848849023079
TEST_0084,0.7432146624029903
TEST_0085,0.7300173053423216
TEST_0086,0.7123691096698959
TEST_0087,0.7454645430279816
TEST_0088,0.6959003843092936
TEST_0089,0.6174329141067828
TEST_0090,0.6583776805620378
TEST_0091,0.619164742046999
TEST_0092,0.7032072513414858
TEST_0093,0.5931657806204964
TEST_0094,0.6420252617985402
TEST_0095,0.5729750611004721
TEST_0096,0.8023318178551109
TEST_0097,0.7813754983891865
TEST_0098,0.7979583707276781
TEST_0099,0.7657728978385385
TEST_0100,0.8348104164211684
TEST_0101,0.8328932274314897
TEST_0102,0.8353071438196094
TEST_0103,0.7239704753153486
TEST_0104,0.46534581062733416
TEST_0105,0.526394264162297
TEST_0106,0.46263225144744435
TEST_0107,0.4585477190923001
TEST_0108,0.37843904046966415
TEST_0109,0.5963875676374432
TEST_0110,0.5082672645300628
TEST_0111,0.3355584162498592
TEST_0112,0.721056661171273
TEST_0113,0.37386705569823897
TEST_0114,0.46506642016599503
TEST_0115,0.3881774852767491
TEST_0116,0.5695695215386447
TEST_0117,0.5859246848716233
TEST_0118,0.5369657479089405
TEST_0119,0.6049344296996644
TEST_0120,0.7491138887646543
TEST_0121,0.7248641167919783
TEST_0122,0.7399134837793535
TEST_0123,0.7142136520056265
TEST_0124,0.6068866101642585
TEST_0125,0.5948713198912849
TEST_0126,0.6084728336670953
TEST_0127,0.612273593312843
TEST_0128,0.7437013546065577
TEST_0129,0.7612933777035671
TEST_0130,0.7714804732054968
